"Path","HasComment","HasHeader","Functions","DocumentedFunctions","GitCreated","GitModified"
"D:/project/portfoliio/src/apps/file-explorer/components/BatchProgressDialog.tsx","True","False","3","0","2026-02-11T17:00:54+08:00","2026-03-04T11:18:40+08:00"
"D:/project/portfoliio/src/apps/file-explorer/components/FileList.tsx","True","False","16","0","2026-02-11T16:12:46+08:00","2026-03-12T15:14:07+08:00"
"D:/project/portfoliio/src/apps/file-explorer/components/FileUploadZone.tsx","True","False","2","0","2026-02-11T17:00:54+08:00","2026-03-03T15:06:10+08:00"
"D:/project/portfoliio/src/apps/file-explorer/components/ImageViewer.tsx","True","False","4","0","2026-02-09T15:24:01+08:00","2026-02-26T13:10:29+08:00"
"D:/project/portfoliio/src/apps/file-explorer/components/PreviewPanel.tsx","True","False","7","0","2026-03-05T10:10:31+08:00","2026-03-12T15:14:07+08:00"
"D:/project/portfoliio/src/apps/file-explorer/components/Sidebar.tsx","True","False","8","0","2026-02-11T16:12:46+08:00","2026-03-05T10:10:31+08:00"
"D:/project/portfoliio/src/apps/file-explorer/components/StatusBar.tsx","True","False","4","0","2026-02-11T16:12:46+08:00","2026-03-12T15:14:07+08:00"
"D:/project/portfoliio/src/apps/file-explorer/components/TextEditor.tsx","False","False","2","0","2026-02-09T15:24:01+08:00","2026-02-09T15:24:01+08:00"
"D:/project/portfoliio/src/apps/file-explorer/components/Toolbar.tsx","True","False","7","0","2026-02-11T16:12:46+08:00","2026-03-06T18:53:01+08:00"
"D:/project/portfoliio/src/apps/file-explorer/hooks/useBatchOperation.ts","True","False","4","4","2026-02-13T18:02:21+08:00","2026-03-04T11:18:40+08:00"
"D:/project/portfoliio/src/apps/file-explorer/hooks/useFileNavigation.ts","True","False","1","4","2026-02-13T18:02:21+08:00","2026-02-13T18:02:21+08:00"
"D:/project/portfoliio/src/apps/file-explorer/hooks/useFileOperations.ts","True","False","1","1","2026-02-13T16:09:26+08:00","2026-03-12T11:36:58+08:00"
"D:/project/portfoliio/src/apps/file-explorer/hooks/useFileSearch.ts","True","False","4","6","2026-03-04T11:18:40+08:00","2026-03-04T11:18:40+08:00"
"D:/project/portfoliio/src/apps/file-explorer/hooks/useKeyboardShortcuts.ts","True","False","3","0","2026-02-13T16:09:26+08:00","2026-02-13T16:09:26+08:00"
"D:/project/portfoliio/src/apps/file-explorer/hooks/useStorageInfo.ts","True","False","3","0","2026-02-24T17:12:38+08:00","2026-02-24T17:12:38+08:00"
"D:/project/portfoliio/src/apps/file-explorer/preview/ArchivePreviewProvider.tsx","True","False","4","0","2026-02-16T13:15:30+08:00","2026-02-16T13:15:30+08:00"
"D:/project/portfoliio/src/apps/file-explorer/preview/AudioPreviewProvider.tsx","True","False","7","0","2026-02-16T13:15:30+08:00","2026-02-26T13:10:29+08:00"
"D:/project/portfoliio/src/apps/file-explorer/preview/CodePreviewProvider.tsx","True","False","3","0","2026-02-11T17:00:54+08:00","2026-02-26T13:10:29+08:00"
"D:/project/portfoliio/src/apps/file-explorer/preview/DefaultPreviewProvider.tsx","True","False","0","0","2026-02-11T16:12:46+08:00","2026-02-11T16:12:46+08:00"
"D:/project/portfoliio/src/apps/file-explorer/preview/DocPreviewProvider.tsx","True","False","3","0","2026-02-11T16:12:46+08:00","2026-02-13T10:49:42+08:00"
"D:/project/portfoliio/src/apps/file-explorer/preview/ImagePreviewProvider.tsx","True","False","1","0","2026-02-11T16:12:46+08:00","2026-02-11T16:12:46+08:00"
"D:/project/portfoliio/src/apps/file-explorer/preview/MarkdownPreviewProvider.tsx","True","False","2","0","2026-02-16T13:15:30+08:00","2026-02-16T13:15:30+08:00"
"D:/project/portfoliio/src/apps/file-explorer/preview/PreviewContainer.tsx","True","False","4","0","2026-02-11T16:12:46+08:00","2026-02-16T13:15:30+08:00"
"D:/project/portfoliio/src/apps/file-explorer/preview/TextPreviewProvider.tsx","True","False","2","0","2026-02-11T16:12:46+08:00","2026-02-11T16:12:46+08:00"
"D:/project/portfoliio/src/apps/file-explorer/preview/VideoPreviewProvider.tsx","True","False","2","0","2026-02-11T16:12:46+08:00","2026-02-12T16:40:56+08:00"
"D:/project/portfoliio/src/apps/file-explorer/utils/fileIcons.ts","True","False","2","0","2026-02-11T19:11:54+08:00","2026-03-06T18:53:01+08:00"
"D:/project/portfoliio/src/apps/file-explorer/index.tsx","True","True","8","14","2026-02-09T15:24:01+08:00","2026-03-12T11:36:58+08:00"
"D:/project/portfoliio/src/apps/file-explorer/manifest.tsx","True","False","0","0","2026-02-09T15:24:01+08:00","2026-03-05T10:10:31+08:00"
"D:/project/portfoliio/src/apps/music-player/components/Equalizer.tsx","True","False","1","0","2026-02-10T17:12:04+08:00","2026-02-26T13:10:29+08:00"
"D:/project/portfoliio/src/apps/music-player/components/Visualizer.tsx","True","False","2","0","2026-02-10T17:12:04+08:00","2026-02-26T13:10:29+08:00"
"D:/project/portfoliio/src/apps/music-player/hooks/useAudioSystem.ts","True","False","4","0","2026-02-10T17:12:04+08:00","2026-02-13T10:49:42+08:00"
"D:/project/portfoliio/src/apps/music-player/index.tsx","True","False","27","0","2026-02-09T16:41:14+08:00","2026-02-26T13:10:29+08:00"
"D:/project/portfoliio/src/apps/music-player/manifest.tsx","True","False","0","0","2026-02-09T16:41:14+08:00","2026-02-12T15:39:48+08:00"
"D:/project/portfoliio/src/apps/notepad/index.tsx","True","False","7","0","2026-02-09T16:08:01+08:00","2026-03-04T11:18:40+08:00"
"D:/project/portfoliio/src/apps/notepad/manifest.tsx","True","False","0","0","2026-02-09T16:08:01+08:00","2026-02-12T15:39:48+08:00"
"D:/project/portfoliio/src/apps/photo-gallery/components/GalleryItem.tsx","True","False","2","0","2026-02-13T10:49:42+08:00","2026-02-20T21:30:19+08:00"
"D:/project/portfoliio/src/apps/photo-gallery/index.tsx","True","False","5","0","2026-02-09T16:41:14+08:00","2026-03-04T11:18:40+08:00"
